"weight","idlist","id","waiting time","duration","total request","priority","completed jobs"
1.0285745391471483E-9,2032,1879,4.6,1.9760752337189262,519,1,64
3.34386211002452E-6,2041,2266,1.0,0.06668518853600125,229,3,12
1.3774823433160206E-9,2050,2169,2.0000002,1.2563618557064355,450,2,56
1.1230144687091171E-9,2059,1278,11.199994,2.8713159549059775,719,1,86
9.836565219528455E-10,2068,660,17.399994,36.10086455090486,485,2,3
1.0142384994786003E-9,2077,2216,2.0000002,2.055396172931937,672,3,25
1.0134530902809996E-9,2086,508,19.0,11.071095253527636,360,3,45
1.043791111613964E-9,2095,1235,11.999993,11.552918871381156,609,2,12
1.0418562774964414E-9,2104,411,20.200005,16.98108615552349,414,2,17
1.0942032008352241E-9,2113,1678,7.799997,3.4383200271888406,723,2,50
9.981733513520878E-10,2122,224,22.400013,50.40527238879327,192,3,6
1.0292129655899929E-9,2131,1107,13.599992,4.201854568912218,818,3,83
1.0005708428437227E-9,2140,679,17.999996,60.86756980024329,111,1,3
1.0796659222864826E-9,2149,1858,6.1999984,57.80394507813369,32,3,3
1.075890520715922E-9,2158,1720,7.599997,21.950932203172272,638,3,2
1.0735850717369022E-9,2167,1231,12.799993,12.06365928970265,709,1,8
1.0456924365623429E-9,2176,281,22.400013,12.77856477036844,682,2,22
1.1290960683719562E-9,2185,1808,7.1999974,30.20433082000261,312,1,1
1.0726940496318904E-9,2194,1166,13.599992,9.07999730105508,67,1,97
1.1804305334644968E-9,2203,1946,5.9999986,9.231386573145784,200,1,12
7.391230819090176E-9,2212,2457,1.0,0.26063363959186037,899,3,27
1.2327475232982202E-9,2221,1624,9.399996,3.727268016515494,463,3,90
1.1485767221237906E-9,2230,1437,11.399994,20.746971656457955,527,1,3
7.118331426381398E-9,2239,2482,1.0,5.8025289268612745,92,3,4
1.4619048530996316E-9,2248,2458,1.2,9.201859148575565,73,2,4
1.4791348735714272E-9,2257,2339,2.6000004,1.2198638450718642,872,3,55
1.437626263503696E-9,2266,1995,6.1999984,29.692603601179457,46,3,7
1.5378188901500692E-9,2275,2461,1.6000001,0.9302752726623308,449,3,69
1.5211022657931346E-9,2284,2240,3.8000007,16.725474263236602,79,1,4
1.5836932364592144E-9,2293,1778,8.599997,29.527403541818423,655,3,1
1.4909445001565413E-9,2302,1613,10.399995,25.652639102439785,11,2,49
1.879243621199424E-9,2311,2521,1.4000001,5.658340292478152,363,1,2
1.4410255688319797E-9,2320,1395,12.799993,59.23952752811535,22,3,10
1.6797803765547202E-9,2329,2316,3.8000007,5.23083882080928,110,2,33
1.528900342149244E-9,2338,1603,10.799994,20.173590342712025,196,2,8
1.7382692687713E-9,2347,2190,5.1999993,6.127920411920141,64,1,44
1.6229415562168042E-9,2356,1679,10.199995,25.713607548557466,390,3,3
1.7522899971248488E-9,2365,1836,8.999996,43.70434316355186,116,2,2
5.530337364469644E-8,2374,2636,1.0,1.0895320849194399,78,1,22
1.9967785042408786E-9,2383,2571,1.8000002,0.5951801621630628,942,3,56
1.928504191257907E-9,2391,2215,5.399999,5.817226178861647,223,1,18
2.1779063598114718E-9,2400,2338,4.2000003,7.315790757056666,31,2,51
1.9564358708674196E-9,2409,2340,4.2000003,7.079543718197561,294,3,11
2.1748529772669107E-9,2418,2294,4.9999995,15.733955259038952,5,3,78
2.0831531199423348E-9,2427,1904,8.799996,5.125144656029269,147,3,94
2.2897408569149117E-9,2435,2117,6.9999976,6.398276449117724,614,3,14
2.027028091145268E-9,2443,2272,5.399999,12.99712540670835,314,2,4
2.1535770198587087E-9,2452,2359,4.6,12.821058664785081,406,3,3
2.0483751423440493E-9,2461,1648,11.7999935,23.953797973717293,22,3,40
2.1459949555163842E-9,2470,1370,14.799991,5.02613002758181,711,2,48
8.92599956977299E-9,2479,2753,1.0,3.90565724913063,491,1,1
2.140359232949016E-9,2488,1878,9.799995,20.58044216140286,232,3,6
1.917707708320393E-9,2497,1323,15.59999,23.609588476340004,46,1,22
1.931698434788057E-9,2506,1125,17.599995,17.31125403271646,118,3,34
2.2974739349061975E-9,2515,2512,4.0000005,2.58150543887574,464,3,41
2.033451922376695E-9,2524,2122,7.799997,54.97572408358017,120,3,1
2.1460165951323152E-9,2533,1994,9.399996,32.315396396968964,37,1,7
2.0717580397522154E-9,2552,2710,2.2000003,11.061038607712684,511,3,1
2.30830074806624E-9,2561,2842,1.0,0.1754176951592914,712,3,61
2.1400676241928836E-9,2570,915,20.400005,23.675767139654422,988,3,4
2.2068524940327324E-9,2579,2186,7.799997,12.641630687908659,40,3,43
2.1681634891525916E-9,2588,1645,13.199992,6.030022460854793,364,3,59
2.3850239201015598E-9,2597,2646,3.4000006,17.201515741779595,362,3,1
2.3684380937714586E-9,2606,2488,4.9999995,13.833358035076058,59,3,14
2.3919099875134583E-9,2615,2881,1.2,0.4032397964348534,438,1,48
2.2902400494814944E-9,2624,2056,9.599996,3.80487813337982,469,3,69
2.421890102184186E-9,2633,2350,6.799998,3.552905063479173,844,2,25
2.3245523175430025E-9,2642,1657,13.799992,5.713938684236305,169,1,80
2.48421648040596E-9,2651,2393,6.599998,2.366117204212312,469,2,78
2.396013203909345E-9,2660,1825,12.199993,5.9270164496533635,761,3,29
3.2592918364819663E-9,2669,2917,1.4000001,0.0768683227102408,917,2,72
2.348269335754129E-9,2678,2654,4.2000003,1.7752190106335013,627,2,55
7.135025026574617E-9,2687,2975,1.0,1.193495424959299,393,3,19
1.5024895308693804E-6,2696,2987,1.0,3.464616073630232,49,1,1
2.7313292473542323E-9,2705,2195,9.199996,2.1179159191957506,634,1,86
2.4347695979155654E-9,2714,1852,12.599993,8.464354338538874,161,3,55
2.5127841299949026E-9,2723,1897,12.399993,35.36244209534949,79,3,7
2.4763418183149863E-9,2732,1035,21.000008,7.9485232992989605,376,2,54
1.0068857789308536E-7,2741,3043,1.0,0.21969519487646805,597,1,9
2.564521074240198E-9,2750,1591,15.59999,3.862949947378698,795,3,83
3.094908789846804E-9,2759,2897,2.6000004,1.588498107578229,318,2,53
2.6836865028207868E-9,2768,2336,8.399997,25.545105148712473,7,3,48
3.0094497196570486E-9,2777,2875,3.0000005,0.6792269871452228,501,1,90
2.6934585557703262E-9,2786,727,24.600021,6.696884982837496,531,1,51
2.7653758736810263E-9,2795,744,24.600021,47.82446758296377,62,1,8
2.688936742480215E-9,2804,824,23.800018,7.080434289182483,490,1,47
2.801097729745874E-9,2813,2081,11.399994,29.257899077545673,51,3,12
2.75317472212085E-9,2822,1428,17.999996,13.296952072347661,559,1,9
2.8220558934066567E-9,2831,1520,17.399994,12.716906498881531,70,3,76
2.8183827298430837E-9,2840,272,29.800041,47.06648552795782,35,1,17
3.0106121207874083E-9,2849,2246,10.199995,22.744321474234134,118,3,8
2.9414640788325076E-9,2858,2385,8.799996,33.169440915383525,222,1,1
3.417616462010428E-9,2867,2951,3.4000006,1.6461576953578287,356,2,63
2.942419108737884E-9,2876,2404,8.799996,4.628541075350844,374,1,30
3.1096694332751305E-9,2885,2258,10.399995,10.791903452752084,656,1,5
2.9219940032884232E-9,2894,3026,2.8000004,16.765771436287412,36,3,6
2.9591496192794786E-9,2903,728,26.000027,17.821249325759982,39,1,73
2.885844546137979E-9,2912,330,30.000042,49.998672929163654,179,1,4
3.8132864416528306E-9,2921,3144,2.0000002,1.9562395201064937,592,2,15
2.9615724538908786E-9,2930,1696,16.59999,18.68963398281126,19,2,83
2.94890741578523E-9,2939,1310,20.600006,9.131103816570707,102,1,82
1.549916178299574E-7,2948,3270,1.0,11.050697462409422,6,3,3
3.244844419222117E-9,2957,3067,3.2000005,2.555047404004586,316,2,31
3.062843435340575E-9,2966,2289,10.999994,2.058580830384795,895,1,84
3.217627835479993E-9,2975,2593,8.199997,7.33764104701911,350,1,12
3.352860968913957E-8,2984,3311,1.0,1.230758317509168,172,3,19
3.3100308541898123E-9,2993,2435,9.999995,13.108379793427838,19,2,74
3.223104618945799E-9,3002,1990,14.399991,3.0936825043051477,746,2,90
3.552898980700745E-9,3011,2759,6.799998,4.868196880079035,952,2,11
3.3063286443902125E-9,3020,2079,13.599992,13.92087623236727,260,3,15
3.3485144490876076E-9,3029,1446,20.200005,28.45121040754305,322,2,5
3.3468537730997174E-9,3038,1606,18.599998,56.22796880606679,407,3,1
4.198046962926556E-9,3047,3196,2.8000004,2.308751019360061,683,2,15
3.466877336028586E-9,3056,1772,17.199993,46.631867952910135,5,1,33
3.6574257612170064E-9,3065,2223,12.799993,17.713861562663734,190,1,7
3.617548649049618E-9,3074,2040,14.599991,3.8278380267443177,812,2,56
3.6627628284731105E-9,3083,1292,22.400013,4.584217104161875,599,1,71
3.6294078467859388E-9,3092,1034,25.000023,24.254240430624975,201,2,13
3.4644935385101956E-9,3101,218,33.400055,10.947630438555448,757,2,29
3.4399237864917326E-9,3110,1197,23.600018,3.9479115773274556,895,2,98
3.443304470701552E-9,3119,346,32.20005,58.70973120369873,777,2,1
3.404421428914161E-9,3128,2530,10.399995,13.065622968941106,116,1,14
3.5328481305448453E-9,3137,2494,10.999994,18.946212360600708,191,1,5
3.244183319509513E-8,3146,3493,1.2,0.40207371168800643,810,3,16
2.2066053376794508E-8,3155,3485,1.2,2.8010436334166213,72,1,9
6.826139644685686E-9,3174,3486,1.4000001,0.6677058432792833,121,1,79
4.4282391510529084E-9,3183,3002,6.1999984,1.5544787921897956,560,1,75
6.052468617679061E-9,3190,3495,1.4000001,1.0860237283298826,629,3,22
6.344467519259304E-8,3199,3545,1.0,2.112603832681974,33,2,20
5.079846745406724E-9,3209,3095,5.599999,1.6709796608610552,870,2,51
4.54400613327776E-9,3218,2765,8.999996,5.421475168100247,158,1,39
4.839856238645868E-9,3227,2634,10.599995,2.4628662052045414,989,1,45
4.633371741871748E-9,3236,2985,6.9999976,4.450406313285506,430,2,23
4.9614520850171766E-9,3245,2703,9.999995,3.9306561031288743,206,2,83
4.695030612532571E-9,3254,2298,13.999991,23.175863087940503,44,2,19
4.6995041934722205E-9,3263,2908,8.199997,8.931154235798493,161,3,21
4.68030691030844E-9,3272,2570,11.599994,2.920934502649941,886,3,65
4.606980537397844E-9,3281,2226,15.19999,24.092589748274563,685,2,2
4.553372323153812E-9,3290,1727,20.200005,8.216384337067673,697,2,23
4.922522204871474E-9,3299,2928,8.399997,2.315073950919465,727,1,46
4.729248029318869E-9,3308,3288,4.7999997,1.1659247685508825,796,2,77
5.042229130807895E-9,3317,3130,6.599998,8.173671701856016,169,3,17
3.0676874548189596E-8,3326,3685,1.0,0.07472227292435685,599,3,35
4.865853436955913E-9,3335,1944,18.599998,63.90288802099681,37,2,5
4.793630546543127E-9,3344,2432,13.799992,15.535196165256723,13,2,99
5.159286949358325E-9,3353,3266,5.599999,4.567277455766856,483,2,14
5.1487420289190705E-9,3362,3083,7.399997,9.432229436388832,539,2,5
4.945072528006379E-9,3371,1221,26.200027,5.555799877528138,332,1,89
1.942188407522578E-7,3380,3753,1.0,2.3475378169637597,76,1,4
4.965576718919007E-9,3388,2748,11.199994,19.792859976221507,196,1,4
4.8793324819800005E-9,3397,3492,3.8000007,6.56675871754686,51,3,31
4.888536173193229E-9,3406,676,32.20005,42.4219833614716,848,3,2
4.886778251155017E-9,3415,861,30.400043,12.728600810471423,737,1,13
4.937138645804147E-9,3424,1385,25.200024,15.922267641741508,681,1,7
4.893371130968982E-9,3433,765,31.400047,79.37442470513963,8,1,18
4.957840756561878E-9,3442,911,30.200043,54.23341548953133,7,3,58
4.945325110693074E-9,3451,754,31.800049,6.11043701467063,865,3,71
5.678022746845611E-9,3460,3620,3.2000005,1.0504967932682279,589,1,45
